COMP,GAP,COMPGAP,TREATMENT,TREE_ID,SPECIES,STATUS_2018,DBH_2018,HEIGHT_2018,HTCB_2018,PVCS_2018,COMMENTS_2018,P_NP,DBH_2013,HTCB_2013,PVCS_2013,ANN_INC,RGR,BA_2013,BA_2018,BAI
400,H,400H,BB,50,WF,L,4.8,24,6,15,,NP,2.9,0.5,10,0.38,0.131034483,0.04586814,0.12566016,0.015958404
400,H,400H,BB,51,WF,L,4.7,22,5,5,,NP,3,0.5,10,0.34,0.113333333,0.049086,0.12047886,0.014278572
400,H,400H,BB,52,PP,L,9.9,37,9,20,,NP,6.9,4,10,0.6,0.086956522,0.25966494,0.53454654,0.05497632
400,H,400H,BB,53,PP,L,10,42,15,20,,NP,7.8,5,35,0.44,0.056410256,0.33182136,0.5454,0.042715728
400,H,400H,BB,54,WF,L,18.3,61,13,0,,NP,16.3,3,5,0.4,0.024539877,1.44907326,1.82649006,0.07548336
400,H,400H,BB,55,TO,L,4.2,20,3,10,,NP,3,0,40,0.24,0.08,0.049086,0.09620856,0.009424512
400,H,400H,BB,56,WF,L,14.2,34,14,0,,NP,11.7,3,5,0.5,0.042735043,0.74659806,1.09974456,0.0706293
400,H,400H,BB,57,DF,L,10,50,26,0,,NP,9.1,23.5,,0.18,0.01978022,0.45164574,0.5454,0.018750852
400,H,400H,BB,58,IC,L,3,11,7,50,,NP,2.8,2,40,0.04,0.014285714,0.04275936,0.049086,0.001265328
400,H,400H,BB,61,SP,L,5.1,19,7,0,,NP,2.7,0,10,0.48,0.177777778,0.03975966,0.14185854,0.020419776
400,H,400H,BB,62,PP,L,6.9,23,6,10,,NP,4.4,1.5,25,0.5,0.113636364,0.10558944,0.25966494,0.0308151
400,H,400H,BB,63,PP,L,8,26,5,15,,NP,6,1,95,0.4,0.066666667,0.196344,0.349056,0.0305424
